building_id,timestamp,meter_reading,anomaly,s_no
1147,2016-01-01 00:00:00,142.836,0,1
1147,2016-01-01 01:00:00,142.836,0,1
1147,2016-01-01 02:00:00,203.826,0,1
1147,2016-01-01 03:00:00,176.006,0,1
1147,2016-01-01 04:00:00,126.716,0,1
1147,2016-01-01 05:00:00,204.018,0,1
1147,2016-01-01 06:00:00,184.995,0,1
1147,2016-01-01 07:00:00,122.052,0,1
1147,2016-01-01 08:00:00,227.194,0,1
1147,2016-01-01 09:00:00,351.871,0,1
1147,2016-01-01 10:00:00,350.529,0,1
1147,2016-01-01 11:00:00,322.0,0,1
1147,2016-01-01 12:00:00,316.633,0,1
1147,2016-01-01 13:00:00,360.441,0,1
1147,2016-01-01 14:00:00,382.348,0,1
1147,2016-01-01 15:00:00,565.768,0,1
1147,2016-01-01 16:00:00,571.61,0,1
1147,2016-01-01 17:00:00,637.415,0,1
1147,2016-01-01 18:00:00,693.151,0,1
1147,2016-01-01 19:00:00,691.392,0,1
1147,2016-01-01 20:00:00,665.092,0,1
1147,2016-01-01 21:00:00,713.7,0,1
1147,2016-01-01 22:00:00,614.233,0,1
1147,2016-01-01 23:00:00,329.439,0,1
1147,2016-01-02 00:00:00,280.118,0,1
1147,2016-01-02 01:00:00,223.652,0,1
1147,2016-01-02 02:00:00,213.842,0,1
1147,2016-01-02 03:00:00,204.263,0,1
1147,2016-01-02 04:00:00,120.38,0,1
1147,2016-01-02 05:00:00,204.327,0,1
1147,2016-01-02 06:00:00,208.679,0,1
1147,2016-01-02 07:00:00,143.951,0,1
1147,2016-01-02 08:00:00,192.694,0,1
1147,2016-01-02 09:00:00,230.131,0,1
1147,2016-01-02 10:00:00,248.948,0,1
1147,2016-01-02 11:00:00,264.239,0,1
1147,2016-01-02 12:00:00,379.151,0,1
1147,2016-01-02 13:00:00,423.159,0,1
1147,2016-01-02 14:00:00,397.044,0,1
1147,2016-01-02 15:00:00,570.71,0,1
1147,2016-01-02 16:00:00,618.697,0,1
1147,2016-01-02 17:00:00,640.732,0,1
1147,2016-01-02 18:00:00,714.687,0,1
1147,2016-01-02 19:00:00,687.235,0,1
1147,2016-01-02 20:00:00,702.823,0,1
1147,2016-01-02 21:00:00,698.905,0,1
1147,2016-01-02 22:00:00,621.304,0,1
1147,2016-01-02 23:00:00,446.728,0,1
